age,gender,ethnicity,native_language,stage_of_change,general_message_1,general_message_2,general_message_3,general_message_4,general_message_5,pre_contemplation_message_1,pre_contemplation_ message_2,pre_contemplation_message_3,contemplation_message_1,contemplation_message_2,contemplation_message_3,preparation_message_1,preparation_message_2,preparation_message_3,action_message_1,action_message_2,action_message_3,maintenance_message_1,maintenance_message_2,maintenance_message_3
48,Male,White,English ,Maintenance,Prefer LLM,Prefer Expert,Prefer LLM,Prefer Expert,Prefer LLM,,,,Prefer Expert,Prefer LLM,Prefer Expert,,,,,,,,,
63,Male,White,English ,Maintenance,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,,,,,,,,,,,,,Prefer LLM,Prefer LLM,Prefer Expert
67,Male,White,English,Maintenance,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,,,,,,,Prefer Expert,Prefer LLM,Prefer Expert,,,,,,
58,Male,White,English,Preparation,Prefer LLM,Prefer LLM,Prefer Expert,Prefer LLM,Prefer LLM,,,,,,,Prefer LLM,Prefer LLM,Prefer Expert,,,,,,
72,Male,White,English,Maintenance,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,,,,,,,,,,,,,Prefer Expert,Prefer Expert,Prefer Expert
59,Female,White,English,Maintenance,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,,,,Prefer LLM,Prefer LLM,Prefer Expert,,,,,,,,,
76,Male,White,English ,Maintenance,Prefer Expert,Prefer LLM,Prefer Expert,Prefer Expert,Prefer LLM,,,,,,,,,,Prefer LLM,Prefer LLM,Prefer Expert,,,
40,Male,White,English,Preparation,Prefer LLM,Prefer LLM,Prefer LLM,Prefer Expert,Prefer LLM,,,,,,,Prefer LLM,Prefer LLM,Prefer LLM,,,,,,
66,Male,White,English,Maintenance,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,,,,,,,,,,,,,Prefer Expert,Prefer Expert,Prefer Expert
68,Male,White,English,Preparation,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,,,,,,,Prefer LLM,Prefer LLM,Prefer LLM,,,,,,
62,Female,White,English,Action,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,Prefer LLM,,,,,,,,,,Prefer Expert,Prefer LLM,Prefer LLM,,,
34,Male,White,English,Action,Prefer LLM,Prefer LLM,Prefer Expert,Prefer LLM,Prefer Expert,,,,,,,,,,Prefer Expert,Prefer LLM,Prefer Expert,,,
